lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
2.358E-03    2.068E-22    3.779E+03
2.371E-03    2.117E-22    3.819E+03
2.385E-03    2.165E-22    3.859E+03
2.399E-03    2.211E-22    3.900E+03
2.413E-03    2.256E-22    3.942E+03
2.427E-03    2.299E-22    3.984E+03
2.441E-03    2.341E-22    4.027E+03
2.455E-03    2.381E-22    4.070E+03
2.469E-03    2.419E-22    4.114E+03
2.483E-03    2.455E-22    4.156E+03
2.497E-03    2.483E-22    4.196E+03
2.512E-03    2.512E-22    4.236E+03
2.526E-03    2.539E-22    4.278E+03
2.541E-03    2.568E-22    4.321E+03
2.556E-03    2.595E-22    4.364E+03
2.570E-03    2.622E-22    4.409E+03
2.585E-03    2.648E-22    4.454E+03
2.600E-03    2.674E-22    4.500E+03
2.615E-03    2.701E-22    4.547E+03
2.630E-03    2.726E-22    4.595E+03
2.645E-03    2.751E-22    4.643E+03
2.661E-03    2.776E-22    4.691E+03
2.676E-03    2.800E-22    4.740E+03
2.692E-03    2.824E-22    4.789E+03
2.707E-03    2.847E-22    4.839E+03
2.723E-03    2.870E-22    4.889E+03
2.738E-03    2.893E-22    4.939E+03
2.754E-03    2.915E-22    4.989E+03
2.770E-03    2.938E-22    5.041E+03
2.786E-03    2.961E-22    5.093E+03
2.802E-03    2.983E-22    5.145E+03
2.818E-03    3.005E-22    5.198E+03
2.835E-03    3.027E-22    5.251E+03
2.851E-03    3.049E-22    5.303E+03
2.867E-03    3.070E-22    5.356E+03
2.884E-03    3.091E-22    5.409E+03
2.901E-03    3.111E-22    5.462E+03
2.917E-03    3.132E-22    5.515E+03
2.934E-03    3.152E-22    5.568E+03
2.951E-03    3.171E-22    5.621E+03
2.968E-03    3.190E-22    5.674E+03
2.985E-03    3.209E-22    5.726E+03
3.003E-03    3.228E-22    5.778E+03
3.020E-03    3.246E-22    5.830E+03
3.037E-03    3.263E-22    5.882E+03
3.055E-03    3.281E-22    5.934E+03
3.073E-03    3.298E-22    5.985E+03
3.090E-03    3.315E-22    6.036E+03
3.108E-03    3.332E-22    6.089E+03
3.126E-03    3.350E-22    6.146E+03
3.144E-03    3.368E-22    6.203E+03
3.162E-03    3.386E-22    6.260E+03
3.181E-03    3.404E-22    6.316E+03
3.199E-03    3.421E-22    6.373E+03
3.217E-03    3.438E-22    6.429E+03
3.236E-03    3.455E-22    6.485E+03
3.255E-03    3.472E-22    6.541E+03
3.273E-03    3.488E-22    6.598E+03
3.292E-03    3.504E-22    6.656E+03
3.311E-03    3.521E-22    6.714E+03
3.330E-03    3.537E-22    6.773E+03
3.350E-03    3.553E-22    6.832E+03
3.369E-03    3.568E-22    6.891E+03
3.388E-03    3.584E-22    6.950E+03
3.408E-03    3.599E-22    7.010E+03
3.428E-03    3.614E-22    7.069E+03
3.447E-03    3.629E-22    7.129E+03
3.467E-03    3.644E-22    7.188E+03
3.487E-03    3.659E-22    7.248E+03
3.508E-03    3.673E-22    7.308E+03
3.528E-03    3.688E-22    7.369E+03
3.548E-03    3.702E-22    7.430E+03
3.569E-03    3.716E-22    7.491E+03
3.589E-03    3.730E-22    7.552E+03
3.610E-03    3.743E-22    7.613E+03
3.631E-03    3.757E-22    7.675E+03
3.652E-03    3.770E-22    7.736E+03
3.673E-03    3.783E-22    7.797E+03
3.694E-03    3.796E-22    7.859E+03
3.715E-03    3.809E-22    7.921E+03
3.737E-03    3.821E-22    7.984E+03
3.758E-03    3.834E-22    8.046E+03
3.780E-03    3.846E-22    8.109E+03
3.802E-03    3.858E-22    8.172E+03
3.824E-03    3.869E-22    8.235E+03
3.846E-03    3.881E-22    8.298E+03
3.868E-03    3.892E-22    8.361E+03
3.890E-03    3.905E-22    8.424E+03
3.913E-03    3.917E-22    8.487E+03
3.936E-03    3.929E-22    8.550E+03
3.958E-03    3.940E-22    8.614E+03
3.981E-03    3.951E-22    8.677E+03
4.004E-03    3.961E-22    8.741E+03
4.027E-03    3.971E-22    8.805E+03
4.050E-03    3.980E-22    8.869E+03
4.074E-03    3.989E-22    8.933E+03
4.097E-03    3.998E-22    8.997E+03
4.121E-03    4.006E-22    9.061E+03
4.145E-03    4.013E-22    9.124E+03
4.169E-03    4.020E-22    9.188E+03
4.193E-03    4.026E-22    9.252E+03
4.217E-03    4.033E-22    9.316E+03
4.241E-03    4.040E-22    9.381E+03
4.266E-03    4.049E-22    9.445E+03
4.290E-03    4.059E-22    9.510E+03
4.315E-03    4.070E-22    9.574E+03
4.340E-03    4.083E-22    9.638E+03
4.365E-03    4.098E-22    9.703E+03
4.390E-03    4.114E-22    9.766E+03
4.416E-03    4.127E-22    9.830E+03
4.441E-03    3.555E-22    6.608E+03
4.467E-03    3.549E-22    6.650E+03
4.493E-03    3.501E-22    6.692E+03
4.519E-03    3.460E-22    6.735E+03
4.545E-03    3.424E-22    6.777E+03
4.571E-03    3.408E-22    6.820E+03
4.597E-03    3.429E-22    6.863E+03
4.624E-03    3.464E-22    6.905E+03
4.651E-03    3.500E-22    6.948E+03
4.677E-03    3.536E-22    6.990E+03
4.704E-03    3.569E-22    7.032E+03
4.732E-03    3.600E-22    7.074E+03
4.759E-03    3.628E-22    7.116E+03
4.786E-03    3.649E-22    7.157E+03
4.814E-03    3.665E-22    7.198E+03
4.842E-03    3.680E-22    7.239E+03
4.870E-03    3.693E-22    7.280E+03
4.898E-03    3.705E-22    7.321E+03
4.926E-03    3.716E-22    7.362E+03
4.955E-03    3.726E-22    7.404E+03
4.983E-03    3.734E-22    7.445E+03
5.012E-03    3.742E-22    7.486E+03
5.041E-03    3.750E-22    7.527E+03
5.070E-03    3.756E-22    7.567E+03
5.099E-03    3.762E-22    7.608E+03
5.129E-03    3.768E-22    7.648E+03
5.158E-03    3.773E-22    7.688E+03
5.188E-03    3.779E-22    7.727E+03
5.218E-03    3.785E-22    7.766E+03
5.248E-03    3.792E-22    7.805E+03
5.278E-03    3.798E-22    7.844E+03
5.309E-03    3.804E-22    7.884E+03
5.339E-03    3.810E-22    7.923E+03
5.370E-03    3.816E-22    7.962E+03
5.401E-03    3.822E-22    8.001E+03
5.433E-03    3.828E-22    8.040E+03
5.464E-03    3.833E-22    8.079E+03
5.495E-03    3.839E-22    8.118E+03
5.527E-03    3.844E-22    8.156E+03
5.559E-03    3.849E-22    8.194E+03
5.591E-03    3.855E-22    8.232E+03
5.623E-03    3.860E-22    8.269E+03
5.656E-03    3.865E-22    8.307E+03
5.689E-03    3.870E-22    8.345E+03
5.721E-03    3.875E-22    8.383E+03
5.754E-03    3.880E-22    8.421E+03
5.788E-03    3.885E-22    8.458E+03
5.821E-03    3.889E-22    8.495E+03
5.855E-03    3.894E-22    8.532E+03
5.888E-03    3.899E-22    8.569E+03
5.922E-03    3.903E-22    8.605E+03
5.957E-03    3.907E-22    8.641E+03
5.991E-03    3.912E-22    8.676E+03
6.026E-03    3.916E-22    8.711E+03
6.060E-03    3.920E-22    8.746E+03
6.095E-03    3.924E-22    8.780E+03
6.131E-03    3.928E-22    8.814E+03
6.166E-03    3.932E-22    8.847E+03
6.202E-03    3.936E-22    8.880E+03
6.237E-03    3.940E-22    8.915E+03
6.273E-03    3.944E-22    8.950E+03
6.310E-03    3.948E-22    8.984E+03
6.346E-03    3.951E-22    9.018E+03
6.383E-03    3.955E-22    9.052E+03
6.419E-03    3.959E-22    9.085E+03
6.457E-03    3.963E-22    9.118E+03
6.494E-03    3.966E-22    9.151E+03
6.531E-03    3.970E-22    9.183E+03
6.569E-03    3.973E-22    9.216E+03
6.607E-03    3.977E-22    9.249E+03
6.645E-03    3.981E-22    9.281E+03
6.683E-03    3.984E-22    9.314E+03
6.722E-03    3.988E-22    9.346E+03
6.761E-03    3.991E-22    9.377E+03
6.800E-03    3.995E-22    9.409E+03
6.839E-03    3.998E-22    9.440E+03
6.879E-03    4.002E-22    9.471E+03
6.918E-03    4.005E-22    9.502E+03
6.958E-03    4.008E-22    9.533E+03
6.998E-03    4.011E-22    9.564E+03
7.039E-03    4.015E-22    9.595E+03
7.079E-03    4.018E-22    9.625E+03
7.120E-03    4.021E-22    9.656E+03
7.161E-03    4.024E-22    9.686E+03
7.203E-03    4.028E-22    9.716E+03
7.244E-03    4.031E-22    9.746E+03
7.286E-03    4.034E-22    9.776E+03
7.328E-03    4.037E-22    9.805E+03
7.371E-03    4.040E-22    9.834E+03
7.413E-03    4.042E-22    9.863E+03
7.456E-03    4.045E-22    9.893E+03
7.499E-03    4.048E-22    9.922E+03
7.542E-03    4.051E-22    9.951E+03
7.586E-03    4.054E-22    9.980E+03
7.630E-03    4.056E-22    1.001E+04
7.674E-03    4.059E-22    1.004E+04
7.718E-03    4.061E-22    1.007E+04
7.762E-03    4.064E-22    1.009E+04
7.807E-03    4.065E-22    1.012E+04
7.852E-03    4.067E-22    1.015E+04
7.898E-03    4.067E-22    1.018E+04
7.943E-03    4.057E-22    1.021E+04
7.989E-03    4.074E-22    1.017E+04
8.035E-03    4.080E-22    1.019E+04
8.082E-03    4.085E-22    1.022E+04
8.128E-03    4.090E-22    1.025E+04
8.175E-03    4.094E-22    1.027E+04
8.222E-03    4.098E-22    1.030E+04
8.270E-03    4.102E-22    1.033E+04
8.318E-03    4.105E-22    1.036E+04
8.366E-03    4.109E-22    1.038E+04
8.414E-03    4.112E-22    1.041E+04
8.463E-03    4.116E-22    1.044E+04
8.511E-03    4.119E-22    1.046E+04
8.561E-03    4.122E-22    1.049E+04
8.610E-03    4.126E-22    1.052E+04
8.660E-03    4.129E-22    1.054E+04
8.710E-03    4.132E-22    1.057E+04
8.760E-03    4.135E-22    1.060E+04
8.810E-03    4.138E-22    1.062E+04
8.861E-03    4.141E-22    1.065E+04
8.913E-03    4.145E-22    1.068E+04
8.964E-03    4.148E-22    1.070E+04
9.016E-03    4.151E-22    1.073E+04
9.068E-03    4.154E-22    1.075E+04
9.120E-03    4.157E-22    1.078E+04
9.173E-03    4.160E-22    1.080E+04
9.226E-03    4.163E-22    1.083E+04
9.279E-03    4.166E-22    1.086E+04
9.333E-03    4.168E-22    1.088E+04
9.386E-03    4.171E-22    1.091E+04
9.441E-03    4.174E-22    1.093E+04
9.495E-03    4.177E-22    1.096E+04
9.550E-03    4.180E-22    1.098E+04
