lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
4.365E-02    6.502E-22    2.161E+04
4.390E-02    6.544E-22    2.182E+04
4.416E-02    6.586E-22    2.203E+04
4.441E-02    6.623E-22    2.221E+04
4.467E-02    6.656E-22    2.236E+04
4.493E-02    6.688E-22    2.252E+04
4.519E-02    6.722E-22    2.268E+04
4.545E-02    6.756E-22    2.285E+04
4.571E-02    6.791E-22    2.301E+04
4.597E-02    6.828E-22    2.319E+04
4.624E-02    6.872E-22    2.341E+04
4.651E-02    6.918E-22    2.364E+04
4.677E-02    6.964E-22    2.387E+04
4.704E-02    7.011E-22    2.410E+04
4.732E-02    7.059E-22    2.434E+04
4.759E-02    7.108E-22    2.459E+04
4.786E-02    7.155E-22    2.482E+04
4.814E-02    7.200E-22    2.504E+04
4.842E-02    7.246E-22    2.526E+04
4.870E-02    7.292E-22    2.549E+04
4.898E-02    7.339E-22    2.572E+04
4.926E-02    7.386E-22    2.595E+04
4.955E-02    7.434E-22    2.618E+04
4.983E-02    7.483E-22    2.642E+04
5.012E-02    7.534E-22    2.667E+04
5.041E-02    7.587E-22    2.693E+04
5.070E-02    7.640E-22    2.719E+04
5.099E-02    7.695E-22    2.745E+04
5.129E-02    7.752E-22    2.772E+04
5.158E-02    7.809E-22    2.800E+04
5.188E-02    7.867E-22    2.828E+04
5.218E-02    7.926E-22    2.856E+04
5.248E-02    7.988E-22    2.885E+04
5.278E-02    8.052E-22    2.915E+04
5.309E-02    8.119E-22    2.947E+04
5.339E-02    8.187E-22    2.979E+04
5.370E-02    8.259E-22    3.013E+04
5.401E-02    8.335E-22    3.050E+04
5.433E-02    8.418E-22    3.092E+04
5.464E-02    8.504E-22    3.133E+04
5.495E-02    8.591E-22    3.176E+04
5.527E-02    8.680E-22    3.218E+04
5.559E-02    8.771E-22    3.260E+04
5.591E-02    8.864E-22    3.303E+04
5.623E-02    8.959E-22    3.346E+04
5.656E-02    9.050E-22    3.383E+04
5.689E-02    9.139E-22    3.416E+04
5.721E-02    9.230E-22    3.449E+04
5.754E-02    9.321E-22    3.483E+04
5.788E-02    9.412E-22    3.517E+04
5.821E-02    9.721E-22    3.672E+04
5.855E-02    9.933E-22    3.773E+04
5.888E-02    1.014E-21    3.874E+04
5.922E-02    1.036E-21    3.979E+04
5.957E-02    1.058E-21    4.087E+04
5.991E-02    1.080E-21    4.196E+04
6.026E-02    1.101E-21    4.305E+04
6.060E-02    1.123E-21    4.415E+04
6.095E-02    1.145E-21    4.524E+04
6.131E-02    1.166E-21    4.634E+04
6.166E-02    1.188E-21    4.743E+04
6.202E-02    1.209E-21    4.853E+04
6.237E-02    1.230E-21    4.964E+04
6.273E-02    1.251E-21    5.074E+04
6.310E-02    1.272E-21    5.185E+04
6.346E-02    1.292E-21    5.295E+04
6.383E-02    1.312E-21    5.405E+04
6.419E-02    1.333E-21    5.515E+04
6.457E-02    1.353E-21    5.624E+04
6.494E-02    1.373E-21    5.733E+04
6.531E-02    1.393E-21    5.842E+04
6.569E-02    1.413E-21    5.951E+04
6.607E-02    1.433E-21    6.059E+04
6.645E-02    1.453E-21    6.167E+04
6.683E-02    1.470E-21    6.259E+04
6.722E-02    1.490E-21    6.366E+04
6.761E-02    1.510E-21    6.477E+04
6.800E-02    1.531E-21    6.590E+04
6.839E-02    1.552E-21    6.705E+04
6.879E-02    1.573E-21    6.819E+04
6.918E-02    1.593E-21    6.929E+04
6.958E-02    1.612E-21    7.034E+04
6.998E-02    1.629E-21    7.130E+04
7.039E-02    1.645E-21    7.215E+04
7.079E-02    1.657E-21    7.285E+04
7.120E-02    1.667E-21    7.338E+04
7.161E-02    1.673E-21    7.372E+04
7.203E-02    1.675E-21    7.385E+04
7.244E-02    1.674E-21    7.376E+04
7.286E-02    1.668E-21    7.346E+04
7.328E-02    1.659E-21    7.294E+04
7.371E-02    1.646E-21    7.224E+04
7.413E-02    1.630E-21    7.137E+04
7.456E-02    1.612E-21    7.036E+04
7.499E-02    1.592E-21    6.924E+04
7.542E-02    1.570E-21    6.804E+04
7.586E-02    1.547E-21    6.679E+04
7.630E-02    1.523E-21    6.550E+04
7.674E-02    1.500E-21    6.421E+04
7.718E-02    1.476E-21    6.292E+04
7.762E-02    1.453E-21    6.166E+04
7.807E-02    1.430E-21    6.043E+04
7.852E-02    1.408E-21    5.924E+04
7.898E-02    1.386E-21    5.810E+04
7.943E-02    1.366E-21    5.700E+04
7.989E-02    1.346E-21    5.595E+04
8.035E-02    1.327E-21    5.495E+04
8.082E-02    1.309E-21    5.400E+04
8.128E-02    1.292E-21    5.310E+04
8.175E-02    1.275E-21    5.225E+04
8.222E-02    1.260E-21    5.144E+04
8.270E-02    1.245E-21    5.068E+04
8.318E-02    1.231E-21    4.995E+04
8.366E-02    1.218E-21    4.927E+04
8.414E-02    1.205E-21    4.862E+04
8.463E-02    1.193E-21    4.801E+04
8.511E-02    1.182E-21    4.742E+04
8.561E-02    1.171E-21    4.687E+04
8.610E-02    1.161E-21    4.635E+04
8.660E-02    1.151E-21    4.585E+04
8.710E-02    1.142E-21    4.537E+04
8.760E-02    1.133E-21    4.492E+04
8.810E-02    1.124E-21    4.448E+04
8.861E-02    1.116E-21    4.407E+04
8.913E-02    1.110E-21    4.368E+04
8.964E-02    1.104E-21    4.332E+04
9.016E-02    1.099E-21    4.296E+04
9.068E-02    1.094E-21    4.262E+04
9.120E-02    1.089E-21    4.229E+04
9.173E-02    1.084E-21    4.197E+04
9.226E-02    1.079E-21    4.165E+04
9.279E-02    1.073E-21    4.134E+04
9.333E-02    1.068E-21    4.104E+04
9.386E-02    1.063E-21    4.075E+04
9.441E-02    1.058E-21    4.046E+04
9.495E-02    1.053E-21    4.017E+04
9.550E-02    1.048E-21    3.989E+04
9.605E-02    1.043E-21    3.960E+04
9.661E-02    1.037E-21    3.932E+04
9.716E-02    1.032E-21    3.904E+04
9.772E-02    1.027E-21    3.877E+04
9.829E-02    1.021E-21    3.850E+04
9.886E-02    1.016E-21    3.824E+04
9.943E-02    1.011E-21    3.799E+04
1.000E-01    1.005E-21    3.767E+04
1.006E-01    9.990E-22    3.736E+04
1.012E-01    9.932E-22    3.706E+04
1.017E-01    9.873E-22    3.675E+04
1.023E-01    9.814E-22    3.644E+04
1.029E-01    9.754E-22    3.613E+04
1.035E-01    9.693E-22    3.582E+04
1.041E-01    9.631E-22    3.550E+04
1.047E-01    9.567E-22    3.518E+04
1.053E-01    9.503E-22    3.486E+04
1.059E-01    9.438E-22    3.454E+04
1.065E-01    9.373E-22    3.422E+04
1.072E-01    9.308E-22    3.390E+04
1.078E-01    9.243E-22    3.359E+04
1.084E-01    9.176E-22    3.328E+04
1.090E-01    9.113E-22    3.298E+04
1.096E-01    9.051E-22    3.269E+04
1.103E-01    8.991E-22    3.240E+04
1.109E-01    8.932E-22    3.212E+04
1.116E-01    8.875E-22    3.185E+04
1.122E-01    8.820E-22    3.159E+04
1.128E-01    8.765E-22    3.132E+04
1.135E-01    8.710E-22    3.106E+04
1.142E-01    8.657E-22    3.081E+04
1.148E-01    8.604E-22    3.055E+04
1.155E-01    8.552E-22    3.030E+04
1.161E-01    8.502E-22    3.005E+04
1.168E-01    8.452E-22    2.980E+04
1.175E-01    8.403E-22    2.955E+04
1.182E-01    8.355E-22    2.931E+04
1.189E-01    8.307E-22    2.907E+04
1.195E-01    8.260E-22    2.883E+04
1.202E-01    8.214E-22    2.859E+04
1.209E-01    8.169E-22    2.836E+04
1.216E-01    8.124E-22    2.813E+04
1.223E-01    8.080E-22    2.790E+04
1.230E-01    8.037E-22    2.768E+04
1.237E-01    7.994E-22    2.746E+04
1.245E-01    7.952E-22    2.724E+04
1.252E-01    7.911E-22    2.703E+04
1.259E-01    7.871E-22    2.682E+04
1.266E-01    7.831E-22    2.662E+04
1.274E-01    7.792E-22    2.642E+04
1.281E-01    7.754E-22    2.623E+04
1.288E-01    7.716E-22    2.604E+04
1.296E-01    7.680E-22    2.586E+04
1.303E-01    7.621E-22    2.555E+04
1.311E-01    7.591E-22    2.540E+04
1.318E-01    7.561E-22    2.526E+04
1.326E-01    7.532E-22    2.512E+04
1.334E-01    7.504E-22    2.499E+04
1.341E-01    7.478E-22    2.486E+04
1.349E-01    7.452E-22    2.474E+04
1.357E-01    7.427E-22    2.462E+04
1.365E-01    7.403E-22    2.451E+04
1.372E-01    7.381E-22    2.441E+04
1.380E-01    7.359E-22    2.431E+04
1.388E-01    7.338E-22    2.421E+04
1.396E-01    7.318E-22    2.412E+04
1.404E-01    7.299E-22    2.403E+04
1.413E-01    7.281E-22    2.395E+04
1.421E-01    7.265E-22    2.387E+04
1.429E-01    7.249E-22    2.379E+04
1.437E-01    7.234E-22    2.372E+04
1.445E-01    7.220E-22    2.365E+04
1.454E-01    7.207E-22    2.358E+04
1.462E-01    7.195E-22    2.352E+04
1.471E-01    7.183E-22    2.346E+04
1.479E-01    7.172E-22    2.341E+04
1.488E-01    7.163E-22    2.337E+04
1.496E-01    7.154E-22    2.332E+04
1.505E-01    7.147E-22    2.328E+04
1.514E-01    7.140E-22    2.324E+04
1.522E-01    7.135E-22    2.320E+04
1.531E-01    7.131E-22    2.317E+04
1.540E-01    7.127E-22    2.314E+04
1.549E-01    7.125E-22    2.311E+04
1.558E-01    7.124E-22    2.308E+04
1.567E-01    7.123E-22    2.305E+04
1.576E-01    7.124E-22    2.303E+04
1.585E-01    7.126E-22    2.300E+04
1.594E-01    7.129E-22    2.298E+04
1.603E-01    7.133E-22    2.295E+04
1.613E-01    7.139E-22    2.293E+04
1.622E-01    7.146E-22    2.291E+04
1.631E-01    7.155E-22    2.288E+04
1.641E-01    7.165E-22    2.286E+04
1.650E-01    7.176E-22    2.284E+04
1.660E-01    7.188E-22    2.282E+04
1.669E-01    7.202E-22    2.280E+04
1.679E-01    7.218E-22    2.278E+04
1.688E-01    7.235E-22    2.277E+04
1.698E-01    7.254E-22    2.275E+04
1.708E-01    7.273E-22    2.273E+04
1.718E-01    7.294E-22    2.272E+04
1.728E-01    7.316E-22    2.270E+04
1.738E-01    7.340E-22    2.269E+04
1.748E-01    7.365E-22    2.268E+04
1.758E-01    7.392E-22    2.266E+04
1.768E-01    7.420E-22    2.265E+04
1.778E-01    7.449E-22    2.265E+04
1.789E-01    7.481E-22    2.264E+04
1.799E-01    7.514E-22    2.265E+04
1.809E-01    7.550E-22    2.266E+04
1.820E-01    7.587E-22    2.267E+04
1.830E-01    7.626E-22    2.270E+04
1.841E-01    7.668E-22    2.273E+04
1.851E-01    7.713E-22    2.278E+04
1.862E-01    7.760E-22    2.284E+04
1.873E-01    7.809E-22    2.291E+04
1.884E-01    7.862E-22    2.300E+04
1.895E-01    7.918E-22    2.311E+04
1.905E-01    7.977E-22    2.323E+04
1.916E-01    8.040E-22    2.336E+04
1.928E-01    8.106E-22    2.351E+04
1.939E-01    8.175E-22    2.368E+04
1.950E-01    8.248E-22    2.387E+04
1.961E-01    8.325E-22    2.408E+04
1.972E-01    8.406E-22    2.431E+04
1.984E-01    8.489E-22    2.456E+04
1.995E-01    8.576E-22    2.483E+04
2.007E-01    8.666E-22    2.512E+04
2.018E-01    8.758E-22    2.542E+04
2.030E-01    8.852E-22    2.574E+04
2.042E-01    8.946E-22    2.606E+04
2.054E-01    9.040E-22    2.639E+04
2.065E-01    9.132E-22    2.672E+04
2.077E-01    9.221E-22    2.703E+04
2.089E-01    9.306E-22    2.733E+04
2.101E-01    9.384E-22    2.760E+04
2.113E-01    9.454E-22    2.782E+04
2.126E-01    9.516E-22    2.801E+04
2.138E-01    9.565E-22    2.813E+04
2.150E-01    9.602E-22    2.819E+04
2.163E-01    9.625E-22    2.818E+04
2.175E-01    9.633E-22    2.809E+04
2.188E-01    9.624E-22    2.792E+04
2.200E-01    9.599E-22    2.768E+04
2.213E-01    9.559E-22    2.737E+04
2.226E-01    9.506E-22    2.700E+04
2.239E-01    9.442E-22    2.658E+04
2.252E-01    9.369E-22    2.613E+04
2.265E-01    9.290E-22    2.564E+04
2.278E-01    9.204E-22    2.513E+04
2.291E-01    9.115E-22    2.461E+04
2.304E-01    9.023E-22    2.408E+04
2.317E-01    8.928E-22    2.354E+04
2.331E-01    8.833E-22    2.300E+04
2.344E-01    8.738E-22    2.247E+04
2.358E-01    8.644E-22    2.196E+04
2.371E-01    8.552E-22    2.145E+04
2.385E-01    8.463E-22    2.097E+04
2.399E-01    8.375E-22    2.051E+04
2.413E-01    8.291E-22    2.008E+04
2.427E-01    8.209E-22    1.967E+04
2.441E-01    8.132E-22    1.928E+04
2.455E-01    8.058E-22    1.892E+04
2.469E-01    7.987E-22    1.857E+04
2.483E-01    7.920E-22    1.824E+04
2.497E-01    7.856E-22    1.792E+04
2.512E-01    7.796E-22    1.762E+04
2.526E-01    7.738E-22    1.733E+04
2.541E-01    7.683E-22    1.707E+04
2.556E-01    7.630E-22    1.681E+04
2.570E-01    7.581E-22    1.657E+04
2.585E-01    7.533E-22    1.634E+04
2.600E-01    7.488E-22    1.612E+04
2.615E-01    7.444E-22    1.592E+04
2.630E-01    7.403E-22    1.573E+04
2.645E-01    7.364E-22    1.554E+04
2.661E-01    7.326E-22    1.537E+04
2.676E-01    7.291E-22    1.520E+04
2.692E-01    7.257E-22    1.504E+04
2.707E-01    7.224E-22    1.489E+04
2.723E-01    7.193E-22    1.475E+04
2.738E-01    7.164E-22    1.462E+04
2.754E-01    7.136E-22    1.449E+04
2.770E-01    7.109E-22    1.436E+04
2.786E-01    7.083E-22    1.425E+04
2.802E-01    7.058E-22    1.413E+04
2.818E-01    7.035E-22    1.402E+04
2.835E-01    7.012E-22    1.392E+04
2.851E-01    6.990E-22    1.382E+04
2.867E-01    6.970E-22    1.372E+04
2.884E-01    6.950E-22    1.363E+04
2.901E-01    6.931E-22    1.354E+04
2.917E-01    6.913E-22    1.345E+04
2.934E-01    6.896E-22    1.336E+04
2.951E-01    6.880E-22    1.328E+04
2.968E-01    6.864E-22    1.320E+04
2.985E-01    6.848E-22    1.312E+04
3.003E-01    6.834E-22    1.304E+04
3.020E-01    6.820E-22    1.296E+04
3.037E-01    6.803E-22    1.287E+04
3.055E-01    6.785E-22    1.277E+04
3.073E-01    6.767E-22    1.267E+04
3.090E-01    6.750E-22    1.257E+04
3.108E-01    6.732E-22    1.247E+04
3.126E-01    6.715E-22    1.237E+04
3.144E-01    6.699E-22    1.228E+04
3.162E-01    6.682E-22    1.218E+04
3.181E-01    6.666E-22    1.208E+04
3.199E-01    6.650E-22    1.198E+04
3.217E-01    6.634E-22    1.189E+04
3.236E-01    6.618E-22    1.179E+04
3.255E-01    6.603E-22    1.170E+04
3.273E-01    6.588E-22    1.160E+04
3.292E-01    6.573E-22    1.151E+04
3.311E-01    6.558E-22    1.142E+04
3.330E-01    6.543E-22    1.133E+04
3.350E-01    6.529E-22    1.124E+04
3.369E-01    6.514E-22    1.114E+04
3.388E-01    6.500E-22    1.105E+04
3.408E-01    6.486E-22    1.096E+04
3.428E-01    6.472E-22    1.088E+04
3.447E-01    6.457E-22    1.079E+04
3.467E-01    6.443E-22    1.070E+04
3.487E-01    6.429E-22    1.061E+04
3.508E-01    6.415E-22    1.052E+04
3.528E-01    6.401E-22    1.044E+04
3.548E-01    6.387E-22    1.035E+04
3.569E-01    6.373E-22    1.026E+04
3.589E-01    6.359E-22    1.018E+04
3.610E-01    6.345E-22    1.009E+04
3.631E-01    6.331E-22    1.001E+04
3.652E-01    6.317E-22    9.926E+03
3.673E-01    6.302E-22    9.843E+03
3.694E-01    6.288E-22    9.761E+03
3.715E-01    6.274E-22    9.679E+03
3.737E-01    6.259E-22    9.598E+03
3.758E-01    6.244E-22    9.517E+03
3.780E-01    6.230E-22    9.437E+03
3.802E-01    6.215E-22    9.358E+03
3.824E-01    6.200E-22    9.280E+03
3.846E-01    6.185E-22    9.202E+03
3.868E-01    6.169E-22    9.125E+03
3.890E-01    6.154E-22    9.048E+03
3.913E-01    6.138E-22    8.972E+03
3.936E-01    6.122E-22    8.896E+03
3.958E-01    6.106E-22    8.821E+03
3.981E-01    6.090E-22    8.747E+03
4.004E-01    6.074E-22    8.673E+03
4.027E-01    6.057E-22    8.599E+03
4.050E-01    6.041E-22    8.526E+03
4.074E-01    6.024E-22    8.454E+03
4.097E-01    6.006E-22    8.382E+03
4.121E-01    5.989E-22    8.311E+03
4.145E-01    5.971E-22    8.240E+03
4.169E-01    5.954E-22    8.170E+03
4.193E-01    5.935E-22    8.100E+03
4.217E-01    5.917E-22    8.031E+03
4.241E-01    5.899E-22    7.963E+03
4.266E-01    5.880E-22    7.895E+03
4.290E-01    5.861E-22    7.827E+03
4.315E-01    5.842E-22    7.760E+03
4.340E-01    5.822E-22    7.694E+03
4.365E-01    5.803E-22    7.628E+03
4.390E-01    5.783E-22    7.563E+03
4.416E-01    5.762E-22    7.499E+03
4.441E-01    5.742E-22    7.435E+03
4.467E-01    5.721E-22    7.372E+03
4.493E-01    5.700E-22    7.309E+03
4.519E-01    5.679E-22    7.247E+03
4.545E-01    5.657E-22    7.185E+03
4.571E-01    5.635E-22    7.124E+03
4.597E-01    5.613E-22    7.063E+03
4.624E-01    5.591E-22    7.003E+03
4.651E-01    5.568E-22    6.943E+03
4.677E-01    5.546E-22    6.884E+03
4.704E-01    5.523E-22    6.825E+03
4.732E-01    5.499E-22    6.766E+03
4.759E-01    5.476E-22    6.708E+03
4.786E-01    5.452E-22    6.651E+03
4.814E-01    5.428E-22    6.594E+03
4.842E-01    5.404E-22    6.538E+03
4.870E-01    5.379E-22    6.482E+03
4.898E-01    5.354E-22    6.427E+03
4.926E-01    5.329E-22    6.373E+03
4.955E-01    5.304E-22    6.319E+03
4.983E-01    5.279E-22    6.266E+03
5.012E-01    5.253E-22    6.213E+03
5.041E-01    5.228E-22    6.161E+03
5.070E-01    5.202E-22    6.109E+03
5.099E-01    5.176E-22    6.058E+03
5.129E-01    5.150E-22    6.008E+03
5.158E-01    5.123E-22    5.958E+03
5.188E-01    5.097E-22    5.909E+03
5.218E-01    5.070E-22    5.861E+03
5.248E-01    5.043E-22    5.812E+03
5.278E-01    5.016E-22    5.765E+03
5.309E-01    4.989E-22    5.718E+03
5.339E-01    4.961E-22    5.671E+03
5.370E-01    4.934E-22    5.625E+03
5.401E-01    4.906E-22    5.580E+03
5.433E-01    4.879E-22    5.535E+03
5.464E-01    4.851E-22    5.490E+03
5.495E-01    4.823E-22    5.446E+03
5.527E-01    4.794E-22    5.403E+03
5.559E-01    4.766E-22    5.359E+03
5.591E-01    4.738E-22    5.317E+03
5.623E-01    4.709E-22    5.274E+03
5.656E-01    4.680E-22    5.233E+03
5.689E-01    4.652E-22    5.191E+03
5.721E-01    4.623E-22    5.151E+03
5.754E-01    4.594E-22    5.110E+03
5.788E-01    4.565E-22    5.070E+03
5.821E-01    4.536E-22    5.031E+03
5.855E-01    4.507E-22    4.992E+03
5.888E-01    4.477E-22    4.953E+03
5.922E-01    4.448E-22    4.915E+03
5.957E-01    4.419E-22    4.878E+03
5.991E-01    4.389E-22    4.841E+03
6.026E-01    4.360E-22    4.804E+03
6.060E-01    4.330E-22    4.768E+03
6.095E-01    4.301E-22    4.732E+03
6.131E-01    4.271E-22    4.696E+03
6.166E-01    4.242E-22    4.661E+03
6.202E-01    4.212E-22    4.626E+03
6.237E-01    4.182E-22    4.592E+03
6.273E-01    4.152E-22    4.558E+03
6.310E-01    4.123E-22    4.524E+03
6.346E-01    4.093E-22    4.491E+03
6.383E-01    4.063E-22    4.458E+03
6.419E-01    4.034E-22    4.425E+03
6.457E-01    4.004E-22    4.393E+03
6.494E-01    3.974E-22    4.361E+03
6.531E-01    3.944E-22    4.329E+03
6.569E-01    3.915E-22    4.298E+03
6.607E-01    3.885E-22    4.267E+03
6.645E-01    3.855E-22    4.237E+03
6.683E-01    3.826E-22    4.206E+03
6.722E-01    3.796E-22    4.176E+03
6.761E-01    3.767E-22    4.147E+03
6.800E-01    3.738E-22    4.118E+03
6.839E-01    3.708E-22    4.089E+03
6.879E-01    3.679E-22    4.060E+03
6.918E-01    3.650E-22    4.032E+03
6.958E-01    3.620E-22    4.004E+03
6.998E-01    3.591E-22    3.976E+03
7.039E-01    3.562E-22    3.949E+03
7.079E-01    3.533E-22    3.922E+03
7.120E-01    3.504E-22    3.895E+03
7.161E-01    3.475E-22    3.869E+03
7.203E-01    3.446E-22    3.843E+03
7.244E-01    3.417E-22    3.817E+03
7.286E-01    3.389E-22    3.792E+03
7.328E-01    3.360E-22    3.766E+03
7.371E-01    3.331E-22    3.741E+03
7.413E-01    3.303E-22    3.716E+03
7.456E-01    3.274E-22    3.691E+03
7.499E-01    3.246E-22    3.667E+03
7.542E-01    3.218E-22    3.643E+03
7.586E-01    3.190E-22    3.619E+03
7.630E-01    3.161E-22    3.595E+03
7.674E-01    3.133E-22    3.571E+03
7.718E-01    3.106E-22    3.547E+03
7.762E-01    3.078E-22    3.524E+03
7.807E-01    3.050E-22    3.501E+03
7.852E-01    3.023E-22    3.478E+03
7.898E-01    2.995E-22    3.455E+03
7.943E-01    2.968E-22    3.433E+03
7.989E-01    2.941E-22    3.411E+03
8.035E-01    2.914E-22    3.388E+03
8.082E-01    2.887E-22    3.366E+03
8.128E-01    2.861E-22    3.345E+03
8.175E-01    2.834E-22    3.323E+03
8.222E-01    2.808E-22    3.301E+03
8.270E-01    2.781E-22    3.280E+03
8.318E-01    2.755E-22    3.259E+03
8.366E-01    2.729E-22    3.238E+03
8.414E-01    2.704E-22    3.217E+03
8.463E-01    2.678E-22    3.197E+03
8.511E-01    2.653E-22    3.176E+03
8.561E-01    2.627E-22    3.156E+03
8.610E-01    2.602E-22    3.136E+03
8.660E-01    2.577E-22    3.117E+03
8.710E-01    2.552E-22    3.097E+03
8.760E-01    2.528E-22    3.078E+03
8.810E-01    2.503E-22    3.059E+03
8.861E-01    2.479E-22    3.039E+03
8.913E-01    2.455E-22    3.021E+03
8.964E-01    2.431E-22    3.002E+03
9.016E-01    2.407E-22    2.983E+03
9.068E-01    2.383E-22    2.965E+03
9.120E-01    2.360E-22    2.947E+03
9.173E-01    2.336E-22    2.929E+03
9.226E-01    2.313E-22    2.911E+03
9.279E-01    2.290E-22    2.893E+03
9.333E-01    2.267E-22    2.875E+03
9.386E-01    2.244E-22    2.858E+03
9.441E-01    2.221E-22    2.840E+03
9.495E-01    2.199E-22    2.823E+03
9.550E-01    2.176E-22    2.806E+03
9.605E-01    2.154E-22    2.788E+03
9.661E-01    2.131E-22    2.771E+03
9.716E-01    2.109E-22    2.754E+03
9.772E-01    2.087E-22    2.737E+03
9.829E-01    2.066E-22    2.721E+03
9.886E-01    2.044E-22    2.704E+03
9.943E-01    2.022E-22    2.687E+03
1.000E+00    2.001E-22    2.671E+03
1.006E+00    1.980E-22    2.654E+03
1.012E+00    1.959E-22    2.638E+03
1.017E+00    1.938E-22    2.621E+03
1.023E+00    1.917E-22    2.605E+03
1.029E+00    1.896E-22    2.589E+03
1.035E+00    1.875E-22    2.573E+03
1.041E+00    1.855E-22    2.557E+03
1.047E+00    1.835E-22    2.541E+03
1.053E+00    1.815E-22    2.525E+03
1.059E+00    1.795E-22    2.509E+03
1.065E+00    1.775E-22    2.493E+03
1.072E+00    1.755E-22    2.477E+03
1.078E+00    1.736E-22    2.462E+03
1.084E+00    1.716E-22    2.446E+03
1.090E+00    1.697E-22    2.431E+03
1.096E+00    1.678E-22    2.415E+03
1.103E+00    1.659E-22    2.400E+03
1.109E+00    1.641E-22    2.384E+03
1.116E+00    1.622E-22    2.369E+03
1.122E+00    1.604E-22    2.354E+03
1.128E+00    1.586E-22    2.339E+03
1.135E+00    1.568E-22    2.324E+03
1.142E+00    1.550E-22    2.309E+03
1.148E+00    1.532E-22    2.294E+03
1.155E+00    1.515E-22    2.279E+03
1.161E+00    1.498E-22    2.265E+03
1.168E+00    1.481E-22    2.250E+03
1.175E+00    1.464E-22    2.235E+03
1.182E+00    1.448E-22    2.221E+03
1.189E+00    1.431E-22    2.207E+03
1.195E+00    1.415E-22    2.192E+03
1.202E+00    1.399E-22    2.178E+03
1.209E+00    1.383E-22    2.164E+03
1.216E+00    1.368E-22    2.150E+03
1.223E+00    1.352E-22    2.136E+03
1.230E+00    1.337E-22    2.123E+03
1.237E+00    1.322E-22    2.109E+03
1.245E+00    1.307E-22    2.096E+03
1.252E+00    1.293E-22    2.083E+03
1.259E+00    1.278E-22    2.069E+03
1.266E+00    1.264E-22    2.056E+03
1.274E+00    1.250E-22    2.043E+03
1.281E+00    1.237E-22    2.030E+03
1.288E+00    1.223E-22    2.018E+03
1.296E+00    1.210E-22    2.005E+03
1.303E+00    1.197E-22    1.992E+03
1.311E+00    1.184E-22    1.980E+03
1.318E+00    1.171E-22    1.968E+03
1.326E+00    1.159E-22    1.956E+03
1.334E+00    1.146E-22    1.944E+03
1.341E+00    1.134E-22    1.932E+03
1.349E+00    1.122E-22    1.920E+03
1.357E+00    1.110E-22    1.908E+03
1.365E+00    1.098E-22    1.897E+03
1.372E+00    1.087E-22    1.885E+03
1.380E+00    1.076E-22    1.874E+03
1.388E+00    1.065E-22    1.862E+03
1.396E+00    1.054E-22    1.851E+03
1.404E+00    1.043E-22    1.840E+03
1.413E+00    1.032E-22    1.829E+03
1.421E+00    1.022E-22    1.818E+03
1.429E+00    1.011E-22    1.808E+03
1.437E+00    1.001E-22    1.797E+03
1.445E+00    9.912E-23    1.786E+03
1.454E+00    9.813E-23    1.776E+03
1.462E+00    9.716E-23    1.766E+03
1.471E+00    9.619E-23    1.755E+03
1.479E+00    9.525E-23    1.745E+03
1.488E+00    9.431E-23    1.735E+03
1.496E+00    9.339E-23    1.725E+03
1.505E+00    9.249E-23    1.716E+03
1.514E+00    9.159E-23    1.706E+03
1.522E+00    9.071E-23    1.696E+03
1.531E+00    8.984E-23    1.687E+03
1.540E+00    8.898E-23    1.677E+03
1.549E+00    8.814E-23    1.668E+03
1.558E+00    8.731E-23    1.658E+03
1.567E+00    8.649E-23    1.649E+03
1.576E+00    8.568E-23    1.640E+03
1.585E+00    8.488E-23    1.630E+03
1.594E+00    8.409E-23    1.621E+03
1.603E+00    8.331E-23    1.612E+03
1.613E+00    8.254E-23    1.603E+03
1.622E+00    8.179E-23    1.594E+03
1.631E+00    8.104E-23    1.585E+03
1.641E+00    8.030E-23    1.576E+03
1.650E+00    7.958E-23    1.568E+03
1.660E+00    7.886E-23    1.559E+03
1.669E+00    7.815E-23    1.550E+03
1.679E+00    7.745E-23    1.542E+03
1.688E+00    7.676E-23    1.533E+03
1.698E+00    7.608E-23    1.525E+03
1.708E+00    7.541E-23    1.517E+03
1.718E+00    7.474E-23    1.508E+03
1.728E+00    7.409E-23    1.500E+03
1.738E+00    7.345E-23    1.492E+03
1.748E+00    7.281E-23    1.484E+03
1.758E+00    7.218E-23    1.476E+03
1.768E+00    7.156E-23    1.468E+03
1.778E+00    7.095E-23    1.460E+03
1.789E+00    7.035E-23    1.453E+03
1.799E+00    6.976E-23    1.445E+03
1.809E+00    6.917E-23    1.437E+03
1.820E+00    6.859E-23    1.430E+03
1.830E+00    6.802E-23    1.422E+03
1.841E+00    6.746E-23    1.415E+03
1.851E+00    6.690E-23    1.408E+03
1.862E+00    6.635E-23    1.400E+03
1.873E+00    6.581E-23    1.393E+03
1.884E+00    6.528E-23    1.386E+03
1.895E+00    6.475E-23    1.378E+03
1.905E+00    6.424E-23    1.371E+03
1.916E+00    6.372E-23    1.364E+03
1.928E+00    6.322E-23    1.357E+03
1.939E+00    6.272E-23    1.350E+03
1.950E+00    6.223E-23    1.343E+03
1.961E+00    6.174E-23    1.336E+03
1.972E+00    6.126E-23    1.329E+03
1.984E+00    6.079E-23    1.323E+03
